,10.000 Range,,,1.000.000 Range,,,100.000.000 Range,,,
,Average,Best,Worst,Average,Best,Worst,Average,Best,Worst,
Quicksort 1 (a) (b) (d),8 , 7, 15, 7 , 7, 8, 8 , 7, 11, 
Quicksort 2 (a) (c) (d),7 , 6, 16, 7 , 7, 8, 7 , 7, 9, 
Quicksort 3 (b) (d),7 , 5, 16, 7 , 7, 8, 8 , 7, 10, 
Quicksort 4 (a) (b),6 , 0, 9, 7 , 7, 8, 8 , 7, 10, 
Quicksort,9 , 7, 19, 8 , 7, 9, 9 , 8, 10, 
Mergesort,11 , 9, 16, 9 , 9, 11, 11 , 9, 14, 
Heap Sort,12 , 11, 15, 11 , 10, 12, 12 , 11, 14, 
Insertion Sort,2991 , 2944, 3021, 2994 , 2935, 3043, 3467 , 3014, 3833, 
Arrays.Sort,12 , 6, 36, 6 , 6, 7, 6 , 6, 8, 
